gene,mrna,protein
Mrpl48,14.38,53457.75
Pak1,15.11,69805.52
Atp6ap1,66.42,61177.27
Usp7,24.09,74332.33
Psmf1,7.84,69919.48
Cfdp1,35.79,60920.94
Stxbp3,8.95,36343.8
Cnih,36.05,5940.42
Mapre3,6.07,25313.79
Uba6,7.2,84585.35
Slk,16.7,57199.0
Armc1,11.48,60346.28
Ankfy1,18.03,72698.92
Hexim1,12.09,58978.05
Aqr,14.48,48729.55
Yipf4,9.88,57898.49
Kiaa0090,15.04,71786.33
Hn1,105.02,57917.97
L7rn6,15.74,85692.55
Mrps12,24.18,15558.22
Dhrs1,11.78,71886.46
Smek2,11.45,63534.44
Wdr3,29.69,44272.24
Derl1,36.59,125997.15
Lage3,12.68,19822.09
Sdc1,39.35,54531.4
Mrpl28,44.43,84861.36
Larp7,23.11,58564.74
Timm22,9.5,58624.74
Yme1l1,17.72,62819.74
Sec24b,23.03,85542.6
nan,8.42,31111.51
Sdf2,34.85,61297.5
Glmn,6.16,68217.76
Flii,20.76,49720.32
Pus10,6.54,24530.49
Isy1,29.96,51122.35
Utp15,8.86,68754.64
Scamp1,7.44,63581.07
Eri1,10.38,47485.68
Pop1,32.93,84461.25
nan,22.82,66366.97
Zcchc10,5.33,46657.46
Pcx,9.61,86622.21
Abi1,28.05,65639.16
Rbm17,33.02,62288.79
Freq,21.91,70804.0
Psap,302.74,108165.81
Prpf3,21.07,43938.21
Mecr,11.34,78499.59
Cirh1a,46.7,35860.25
Armc6,7.9,46945.39
Trappc6b,12.23,54072.86
Isg20,22.15,89003.9
Pola2,25.73,40695.03
Rabif,11.3,52312.06
Ddx19a,12.63,59168.47
Hs2st1,16.55,56787.92
2610027L16Rik,10.21,34710.44
Ncapg,13.08,71414.46
Ap1b1,16.14,118032.26
Mrps21,87.69,75217.53
Gapvd1,12.25,43633.64
Pds5a,22.12,39356.29
Sels,35.7,37989.42
Uqcrh,104.4,86984.18
H13,13.04,52673.35
Hbxip,29.49,59360.42
Snx27,14.45,53970.67
Nipsnap3a,8.54,70004.33
Sf3b4,49.52,107249.01
Ddrgk1,32.06,64713.32
Mrps11,18.9,28968.42
Vps36,22.72,54481.06
Ormdl3,11.64,22992.62
Ccdc53,10.72,65881.41
Adprh,16.81,99866.02
Csda,141.36,45139.12
Aco1,17.13,99103.14
Prkra,5.71,54728.86
Sumf2,14.61,71708.26
Rcn2,27.7,136965.86
Ccdc115,7.09,43931.32
Napg,3.14,34150.42
Nol6,21.19,49926.18
Slc30a7,13.66,69353.96
Sympk,29.28,54258.16
nan,17.47,23900.66
Rab11fip1,2.95,25515.4
Nudt9,27.51,77083.6
Rbm42,33.43,50013.77
Commd1,13.1,47325.23
Mrps27,13.0,68211.47
Ppme1,24.03,77804.25
Gins2,15.1,47212.24
Nup160,10.81,57635.61
Nup153,19.35,46944.85
Commd10,3.68,24907.56
Clip1,15.02,39384.4
Mrpl19,7.18,75650.57
Ranbp2,11.88,40645.36
Nxt1,21.21,62913.27
Igbp1,18.63,68070.03
Apmap,9.83,61977.78
Scrib,35.11,57628.74
Smchd1,11.75,58676.08
Cstf2,13.9,53786.67
Mrps10,5.95,53786.33
Fyn,6.3,49191.05
Usp47,38.15,61210.45
Ccdc43,9.76,58091.21
Smarca4,46.67,58457.3
Urod,17.52,81477.06
Ccdc56,8.07,42903.71
Tmem176a,90.35,36713.28
Epm2aip1,7.09,58384.15
Mark2,10.56,12663.61
Uck1,13.21,48911.17
Ptges2,11.51,72594.44
Stk3,9.92,61172.28
Rbm38,12.77,27929.21
Cebpz,19.34,43012.52
Rbm22,16.26,57765.55
Ndufab1,10.0,68333.55
Cwc22,88.54,42069.16
Nckap1,53.24,62624.54
Ing5,6.91,18808.84
Ndufb6,47.28,57675.74
Apobec3,16.23,62054.22
Gtl3,13.94,58705.35
Isca1,14.4,20906.25
Slc9a3r1,12.75,58994.94
Pdxp,8.53,34664.9
Dock7,14.4,52794.63
Wdr92,4.04,32461.3
Ncbp2,15.74,93753.23
Thoc2,10.97,50208.63
Cox6a1,256.12,73563.89
Ndufa7,66.39,39397.34
nan,17.22,57266.14
Smarcc2,18.34,61674.45
Srpr,45.38,61709.97
Gtf2i,22.1,48496.43
Mrpl45,17.94,50783.29
Ppif,11.02,69396.08
Isoc1,6.38,93104.69
Ddx42,21.87,61121.63
Csrp2,12.91,28297.13
Nxn,14.17,88379.38
Hdhd3,3.4,307239.63
Hmg20a,5.4,52996.32
Eefsec,6.1,68050.44
Nubp1,15.44,37918.49
Pak1ip1,26.74,33427.32
Pepd,14.13,61085.63
Acbd3,11.2,43583.21
Hells,22.32,53596.78
Vrk1,5.21,80853.29
Ttc1,15.46,63272.79
Magt1,16.7,43212.81
Bst2,74.61,97678.31
Glrx5,34.24,40594.54
Fcf1,51.6,27299.78
Mrpl51,12.55,42960.39
Mrpl44,9.66,64349.49
Phlda3,68.7,48951.86
Rab8b,8.02,38784.32
B2m,355.57,97644.98
Chaf1b,19.32,31521.72
Ugt1a6,11.13,90977.14
Ahsa2,12.89,33260.86
Chtf8,20.22,28016.27
Znf326,12.8,51535.01
Dak,8.62,49129.31
Peci,22.36,91246.24
Mnat1,6.09,69697.87
Slc25a20,6.45,45773.12
Strn3,16.62,50071.5
Pdrg1,46.65,41234.59
Nat11,12.21,41125.51
Cul3,33.26,58230.14
9030617O03Rik,8.01,45766.31
Hdhd2,4.84,49080.23
Abt1,4.57,46749.96
Nosip,12.93,61995.84
Fam98a,18.7,55883.84
Rnf2,8.06,37135.05
Cnot1,29.87,62613.26
Pdlim7,30.22,74419.81
Rexo4,13.81,17381.58
Bat2d1,28.78,27101.69
Wdr55,26.19,35182.79
Mrpl10,29.2,60413.54
Aamp,50.74,41733.68
Clpb,9.1,24902.75
Lancl1,4.14,66285.09
Esf1,13.97,26673.24
Fip1l1,24.37,51836.26
1110007C09Rik,26.33,39890.64
Rela,40.52,34688.89
Sccpdh,13.27,50153.36
Pcid2,15.09,57730.75
Inppl1,57.42,46181.36
Rad50,7.15,38858.55
Tbrg4,34.71,34938.26
Elp4,2.4,36144.84
Snap23,7.77,47635.13
Marcksl1,39.59,24939.18
Gsk3b,7.04,50105.06
Abhd12,17.39,59404.2
Tbl2,7.89,44619.74
Mrpl49,23.52,66637.6
Ndufa11,6.89,35088.41
Smndc1,16.72,47103.67
Lss,13.35,54963.36
Ptgr1,4.79,59348.42
Stx4,21.44,50203.71
Snrnp27,18.2,52928.32
Snap29,5.07,58057.9
Bin1,17.9,89265.27
Etfdh,15.3,37586.04
Smarcd2,15.55,33341.87
Nudt3,26.97,43731.97
Tmsb10,87.39,95806.53
nan,6.59,39181.65
Gng7,2.85,15308.43
Crtap,43.99,87105.23
Ptpn23,26.26,52470.01
Ccdc12,24.02,15611.03
Degs1,45.57,71951.6
Mki67,29.87,22110.58
Impact,15.65,53235.36
Nae1,10.56,74139.32
Mov10,13.36,86904.12
Tbl3,35.85,50861.78
Med20,9.75,44966.45
Tbcc,11.62,59866.63
Exosc6,13.16,26887.51
Acaca,15.41,56165.27
Gemin5,12.76,31792.16
Slc25a32,10.77,50192.23
Lpp,7.14,40855.15
Mogs,24.01,92797.62
Arf4,37.62,7990.01
Ercc6l,12.68,56456.16
Unc45a,15.26,69283.88
Sart1,16.99,40595.36
Map2k4,11.93,62876.11
Gbas,7.79,33910.01
Pop4,8.3,31974.44
Ogt,17.73,60670.24
Nup107,27.49,47589.51
Orc4l,5.04,45624.17
Lrrc20,3.52,24703.33
2900010J23Rik,93.93,34827.75
Grsf1,25.45,64470.86
Ap2a1,31.37,63566.06
Spc24,10.39,34322.97
Hmgcl,5.37,67894.79
Gfer,18.6,21663.96
Stim1,15.48,53361.32
nan,13.15,36698.32
Sdad1,23.48,28405.59
Smad3,20.62,67556.66
Ict1,29.13,52289.48
Map1s,17.6,49010.97
Tmem188,8.77,18441.72
Rpp38,6.67,48823.25
Polr1a,45.42,37634.96
Utp14a,14.1,34385.14
Man2a1,18.35,62821.9
Ndufb8,86.54,61891.82
Tapbp,105.02,99533.74
Top2b,11.13,43106.74
Mett10d,16.24,29183.04
Med30,22.76,37252.39
Lsg1,26.56,27795.68
Gcat,4.93,48602.69
Sept8,19.69,51819.82
Tor1aip1,12.82,72079.47
Polr2i,23.13,58840.54
Sco1,2.5,18227.98
Huwe1,37.09,33470.57
Nvl,11.43,40172.29
Mina,11.26,43205.74
Nradd,29.04,88241.2
Abcd3,11.88,62412.55
Tradd,7.56,65516.87
Tle3,8.74,75473.16
Tmem9,21.28,4464.09
Pmvk,7.95,64850.09
Mrpl17,14.1,47235.58
Mrps9,13.08,61450.39
Bnip1,6.55,30767.96
Crnkl1,7.99,40298.61
Creg1,15.44,64705.2
Akap8,25.19,32625.34
Bag3,24.06,63610.11
Tns3,43.1,32639.75
Ndnl2,19.92,48111.75
Rpp14,5.7,36086.37
Glg1,24.82,39149.84
Phldb2,34.9,46252.01
Arih1,13.37,32426.11
Tnfaip8,8.13,54383.85
Otud4,52.51,33868.14
nan,6.8,31099.18
Gnpnat1,5.85,71241.79
Ctr9,18.26,33663.7
Prpf38b,26.42,50012.51
Ddx49,19.98,33854.09
Galk2,12.27,44781.72
Nop14,36.64,46699.73
Ubr4,26.82,44564.31
Mettl13,11.49,40222.55
nan,18.58,28581.96
Txnl4a,8.51,36497.02
Sms,5.52,52755.01
Atp2b1,15.16,39099.66
Cpt2,5.41,33231.57
Fyttd1,10.62,28266.95
Ptpmt1,13.13,39471.1
Mllt4,20.48,40516.69
Rod1,10.14,60882.68
Gna13,13.24,105605.76
Ap1m1,26.16,54460.31
nan,7.31,12061.84
Plk1,38.99,63792.59
Slc7a5,40.08,47882.66
Saps3,21.59,46425.87
Ccdc127,9.7,19518.29
Las1l,19.67,50577.22
Dph5,8.93,61052.42
Sdhc,35.34,48281.18
Cetn2,13.01,33556.84
Nudcd3,20.29,60706.57
Col6a1,128.04,52183.38
Dnajc10,22.54,50980.24
Tmem120a,31.12,43293.88
Fam91a1,43.27,70245.31
Ankrd46,14.57,36538.78
Exosc2,33.35,36835.05
Cstf3,6.89,54300.29
Ppm1f,12.41,48206.17
Lsm14a,25.9,28151.61
Arl8a,17.62,43293.6
Txndc13,3.76,55806.73
Mgst2,9.29,41654.54
Utrn,7.35,38479.88
Alg2,10.48,77029.53
Snx4,16.6,61015.61
Dctn6,10.53,30864.31
Mrrf,6.54,39197.01
nan,7.03,46059.34
Fxc1,22.27,37175.12
Nat10,13.55,41775.42
Taf15,83.52,21193.23
Ptrh1,20.79,42427.08
Gabpa,10.45,47173.49
Fbxo2,13.56,112027.94
Ogfr,44.52,91328.78
Glrx2,3.65,25776.53
Trim3,15.33,22989.22
2310004N24Rik,13.28,37188.89
Sf3b5,38.89,86175.3
Wdr36,16.1,44195.05
Agfg1,16.57,32185.84
Klc1,30.83,43857.37
Anapc7,20.37,37635.21
Arfgap2,14.83,33832.18
Ergic3,60.79,22838.86
Nt5c3,9.36,39764.15
Dhx36,15.25,64243.16
Ddx24,36.45,46725.53
Pdia5,10.72,50657.98
Aarsd1,15.27,41095.45
Fkbp8,51.09,69912.12
Ndufs6,27.4,39018.6
Pola1,12.83,39204.51
Adfp,77.06,39039.87
Commd5,18.07,42984.32
Exosc8,31.77,29679.02
Abcf3,11.72,38393.43
Srpk1,30.47,56825.51
Eif1a,22.45,35378.98
Ppp1r10,12.83,20475.14
Aldh3a2,9.58,64546.57
Hrpap20,5.51,40697.65
Cdc42ep1,24.27,40302.32
Thoc1,6.17,46749.76
Nufip2,9.99,37831.5
Ap3b1,15.9,38965.88
Surf1,15.34,23909.64
Stt3a,73.84,90394.3
Ncaph,13.15,38229.44
Kif1b,7.83,49194.69
Sepsecs,3.58,20086.39
Nle1,16.54,22660.16
Htra2,37.19,83298.38
Faim,10.08,34896.08
Ccnh,9.42,33977.05
Gpsn2,35.2,43638.85
Dnajb12,28.87,29422.65
Utp20,15.71,47400.49
Dera,7.49,42548.62
Ifrd1,68.53,51979.76
Wasl,10.92,31918.06
Mrpl32,18.93,19319.02
Vps37b,25.45,44759.71
nan,49.8,27259.7
Serpinf1,210.03,45622.44
Rbm19,15.28,28067.33
Preb,15.68,41851.65
Acox1,12.99,23235.15
Eif2ak2,8.06,62718.58
Acsl5,27.52,35968.42
Spata5,17.22,47483.43
Dync1li2,13.66,55123.83
Tcof1,16.23,22425.01
Dhrs13,9.61,21428.49
RP23-392I13.10-001,13.14,61851.25
Cd3eap,16.91,12332.88
Ddx20,14.26,32002.77
Trmt6,20.05,48563.74
Rnmt,4.72,53438.92
Fam164a,5.31,25120.59
Rras,16.03,40419.24
Gmppa,17.33,49356.65
Pum1,16.08,29059.97
Maged1,164.2,53047.76
Rbm4,6.35,23276.01
Aup1,60.35,18931.23
Fam105b,27.54,37841.87
Nsmce1,34.91,51633.13
Med28,7.92,34510.13
Mrpl47,15.55,28733.22
Setd7,13.34,25741.41
Cpsf2,11.02,39088.35
Lrrfip1,20.27,26330.47
Elac2,16.71,45040.77
Capn1,18.16,50630.34
Wbp2,25.43,26242.57
Wdr68,26.86,53241.2
Cpd,15.58,28987.85
Parp3,13.77,36924.72
Ifi47,4.07,119754.5
Cbfb,22.79,43615.06
Edc3,9.33,29745.7
Aurkb,15.35,33899.85
Tmem85,45.34,58927.42
Son,42.67,32435.06
Pofut1,7.8,48131.36
Dusp12,12.2,21887.19
Akr1e1,4.78,29482.09
Hax1,54.4,29581.34
Hsd17b11,4.43,38314.57
Tatdn1,4.41,30252.39
Cnpy3,19.24,39696.46
Mlf2,93.65,18215.3
Asah1,17.84,66773.82
Bola1,3.67,15979.75
Mrpl2,25.16,21981.68
Cdkn2aipnl,11.09,27038.57
Specc1,35.87,33576.47
Ccnk,14.82,27820.32
Ptcd3,30.2,44279.39
Spc25,7.81,27546.36
Polr2a,69.24,37495.09
Wipi2,23.57,15587.06
Chmp2b,11.07,21053.09
Wbp11,32.38,34311.13
Ccnl1,23.46,26086.51
Adpgk,9.25,32131.98
Manbal,26.32,39474.14
Xab2,21.38,32970.64
Parp2,7.88,36359.09
Pik3r4,5.84,39086.75
Srfbp1,9.45,13633.03
Hs1bp3,5.86,41090.7
Cd109,21.15,48321.4
Mrpl30,53.08,20099.91
Acp6,8.31,26135.07
Aga,10.49,36447.61
Myst2,32.12,42709.27
Ubl5,12.69,51973.93
Cherp,24.58,37204.75
Exosc3,20.99,26935.24
Tbk1,13.67,6361.17
Psme4,19.49,28386.57
Eaf6,12.37,16220.86
Arfip2,14.03,31846.07
Myo1e,17.19,39914.85
Gnl2,31.13,45433.89
Crot,11.06,62069.1
Mcat,10.92,28865.57
Edc4,14.69,40157.98
Scd2,54.14,19820.62
Yeats4,14.15,14135.72
Med4,11.54,42587.02
Ubr2,11.24,20522.12
Pwp2,21.75,26458.35
Carm1,36.02,44473.63
Tmem199,17.85,9878.18
Pgm3,3.48,30161.05
Mpp6,28.33,30785.58
Ppie,19.72,43361.6
Tmem19,8.67,21160.05
Erap1,10.16,57492.48
Phf6,8.92,23198.25
Tprkb,12.8,41913.32
Pcyox1,16.37,57446.1
Xrcc6,27.21,30296.95
Bxdc5,25.35,28836.39
Srp9,7.55,53719.21
Sdccag1,12.12,22544.05
Ccbl2,4.59,39572.78
Lrp1,37.05,31570.55
Xpot,22.47,62011.0
2310005E10Rik,3.66,29167.08
Plscr3,13.04,26958.91
Stx5,17.64,46074.71
Stk39,6.87,14299.4
Muted,4.82,14456.94
Map7d1,41.77,23987.86
nan,2.26,34846.2
Ipo4,21.32,47181.55
Zc3hc1,16.42,22018.79
Ube2j1,14.28,40800.17
Tnks1bp1,28.67,37775.5
Toe1,14.25,43048.01
Pex11b,3.09,22678.02
Diablo,16.79,48943.74
Cno,9.07,25673.2
Prpf4b,15.43,44049.92
Trmt2a,14.84,22496.19
Nucb1,52.33,46822.77
Lnpep,5.22,40327.43
Dnttip2,33.5,40118.2
Kpna1,11.67,19356.5
Stk38,10.98,25119.51
Prkar2a,23.0,109933.08
Rock2,14.78,29903.26
Aadacl1,5.54,73545.69
Ppp2r5e,7.76,59460.06
Rhot1,9.11,26898.01
Epb41l3,16.49,34050.46
Cast,24.71,38201.19
Loh11cr2a,5.65,70712.58
Flot2,30.55,55467.2
Tsen34,20.12,47397.58
Ddx50,21.26,40223.34
Tmem55a,10.59,31524.88
Nip30,14.2,39059.21
Rap2c,9.6,39277.81
Taf10,70.4,5758.24
Pxn,19.56,23995.63
Ddx10,12.94,26877.28
Cdk5,8.67,41948.78
Acsl4,20.36,32209.81
Nupl1,12.89,32454.35
Nfs1,13.95,16165.85
Pigs,21.49,44286.02
Hddc2,16.06,39777.09
Polr1e,6.88,31899.67
Ist1,14.25,42140.96
Phldb1,34.86,18266.36
Trip12,22.73,41320.1
Uqcc,11.52,37596.33
Atxn2,11.78,15627.32
Ctbp2,25.09,48055.88
Gps2,25.39,8281.47
N6amt2,15.14,20770.37
Nmt2,18.52,18648.79
Ppp1r12b,2.47,19603.08
Nrm,4.36,12170.13
Tmed3,37.93,38089.92
2310014H01Rik,22.76,30721.82
Rps6ka1,9.21,28283.76
Cpped1,8.0,38605.74
Nr2f2,15.57,42715.33
Ube3a,11.32,47569.8
Rpp40,2.65,33484.84
Tex10,12.6,47729.78
Fam21,15.11,19836.81
Fnta,20.98,92355.18
Urm1,12.78,20476.39
Dnajc13,14.1,38006.36
Ddah2,6.56,31173.31
Rfc1,24.23,18768.76
Ddx51,8.6,12252.19
Kif11,10.1,23947.58
Fbxl15,7.77,30748.15
Rnf160,8.84,18075.08
Sec24c,17.67,30807.27
Birc6,13.47,24499.4
BC003266,13.03,17195.69
Cd2bp2,13.8,34625.86
Dab2,18.59,52008.85
Ap3m1,2.76,31213.05
Fads2,30.68,36038.4
Tmem103,5.91,28165.02
Lgals9,44.56,52099.74
nan,14.89,33239.43
Fam176b,22.99,32925.82
Diap1,7.33,17206.65
Sdc2,29.06,26054.71
Ktelc1,19.24,51924.77
Gga1,23.1,35023.73
Uap1,12.43,42147.68
Nup188,23.37,21932.36
Paip2,25.89,64271.47
Mre11a,10.12,35113.3
Ptp4a2,43.12,10056.36
Gtf2a2,14.78,24040.53
Afg3l2,15.49,26919.62
Dhrs7,9.78,28300.2
Cbr4,1.91,26346.0
Epha2,38.53,28943.1
D8Ertd738e,56.41,26505.63
Cpsf3,18.53,36975.41
Maff,15.35,25546.58
Dhx30,23.85,24517.48
Ap1g1,17.17,64909.95
Dnajc21,19.31,18930.64
Usp15,21.92,36091.55
Commd4,28.4,36213.22
Wdr74,36.64,20188.78
Traf4af1,9.15,10887.84
Rnaseh2a,12.58,23108.28
Stx7,4.87,31883.74
Cwf19l1,3.24,13116.5
Ndufaf1,4.55,7462.26
Ints3,21.76,38054.03
Exosc9,21.06,11152.35
Rap1a,20.79,42988.23
Dnajc24,7.48,27729.2
Gigyf2,7.88,24093.04
Spag9,12.46,21995.72
Rab24,14.5,27985.86
Tfb1m,1.64,12949.1
Ift20,26.3,32878.67
Rnpep,7.87,36155.91
Golm1,13.8,9914.46
nan,7.99,24603.71
Gnb4,21.98,25344.26
H6pd,14.25,47254.62
Impad1,19.24,42228.05
Mitd1,7.92,34938.1
Cstf2t,11.68,21887.15
Dnaja3,13.21,38490.86
Kiaa1524,13.19,17123.68
Pldn,5.68,42285.79
Golga3,11.0,17119.21
Timp1,170.06,32719.17
Cdca8,26.95,16669.09
Shcbp1,12.73,34306.02
Ifrd2,33.03,25335.95
Arhgef10l,12.15,19665.64
Hdac2,24.51,47619.72
Trappc4,24.64,32753.09
Ciao1,5.93,37932.23
Nup88,34.92,13525.69
Pvr,16.57,26940.99
Golgb1,5.84,19943.12
Fam125a,14.75,18885.82
Dfna5,12.09,33193.34
Rpe,8.0,40130.79
RP23-118A2.10-001,8.9,34208.67
Mon2,7.79,19677.57
Rasa3,32.25,33161.99
Dtd1,4.79,20699.72
Pdzd11,28.58,25072.19
Gins4,19.19,35319.03
Clasp1,10.7,24993.97
Taf9,67.67,29559.17
Ndrg3,16.77,45819.19
Crcp,17.13,32066.95
Pop5,29.8,13201.44
Soat1,16.83,48208.7
Gins3,4.94,30693.42
Mrpl34,13.16,15173.13
Ap3d1,19.96,27723.85
Gnl1,27.41,33815.59
Smg9,13.15,24779.99
Trip10,16.36,16145.4
Brcc3,3.69,34344.97
Zw10,13.59,30685.44
Mrpl38,26.02,36603.77
Mccc1,5.28,21183.7
Fam62a,8.43,32809.95
Ppil4,8.82,9442.22
Eed,23.56,23353.41
Pmf1,31.27,27601.14
Sec23a,6.67,48852.02
Tep1,1.37,29767.39
Strn,7.05,29858.54
Aak1,4.26,23931.96
Gsk3a,29.24,17476.83
Cd47,25.93,101949.42
Nt5dc2,41.03,57971.84
Smek1,10.32,32840.75
Hspbap1,2.09,12747.97
Romo1,44.43,31684.15
Eftud1,7.59,30178.49
Aldh7a1,6.71,48595.88
Gdpd1,4.09,18245.25
Erc1,5.35,21163.76
Paf1,26.51,31387.3
Prrx1,10.27,37176.68
Bag1,57.23,14002.72
Pogz,7.06,14253.94
Lsm10,10.92,13776.03
Myo18a,13.8,30411.59
Pxdn,39.56,30980.99
Use1,16.49,14956.47
Dhx37,14.38,19579.25
Nt5c2,5.14,41628.0
Rab3gap1,12.0,18458.14
Cul5,7.77,35279.89
nan,2.67,18999.62
Lactb2,3.16,19517.58
Pcdh7,57.02,28094.78
Alcam,14.77,60735.72
Ddx58,16.12,58020.67
Higd2a,23.15,15173.16
Rabl3,2.6,20577.94
Ripk2,27.98,24473.33
Krtcap2,155.21,36963.5
Np60,26.01,21326.26
Shc1,40.95,36731.64
Necap1,10.68,21160.03
Rprd1a,4.75,29064.28
Sdccag10,7.28,12501.67
Ccdc90b,3.89,35780.1
nan,3.82,22024.31
BC027231,10.06,12362.08
Wnk1,30.03,16745.75
Ube2e3,21.35,34226.61
Inpp1,3.05,39618.57
Trmt1,21.16,21280.58
Ubxn7,3.49,25343.56
Atpaf2,5.62,17425.2
Noc3l,8.32,22118.35
Pde12,4.67,12798.15
nan,24.52,28245.3
Commd8,6.67,27194.59
Srrm1,29.47,21138.87
Coq4,4.62,11770.34
Dctn5,31.81,35529.47
Nipa1,5.69,26980.71
Nol10,20.43,18582.43
Jagn1,17.23,31126.14
Ube4b,17.66,27236.0
Nt5dc3,9.01,28028.58
Ddx31,6.19,19074.08
Pter,2.23,14723.16
Gtf2e1,5.77,25340.99
Tor1a,15.13,18608.99
Ercc4,1.77,5462.51
Ncam1,6.55,24883.51
Mpdu1,24.5,39565.46
Eif4e2,27.73,39315.98
Stambp,5.35,26684.63
Pacs1,8.82,20233.65
Gtf2f1,39.76,25035.73
Wdr70,17.56,15221.64
Sh3pxd2b,9.41,9234.86
Mdm2,2599.59,31157.09
Kti12,18.32,12395.22
Pin1l,2.43,26334.59
Gbf1,13.32,24739.08
Pop7,15.5,28014.65
Chac2,2.04,17405.11
Ldlr,19.49,14289.94
Polb,7.27,14884.87
Akt1,85.72,37060.73
Pnkp,6.89,16901.19
Gmpr2,8.16,20009.44
Bicd2,12.86,13703.14
Cobll1,9.08,11388.59
Scyl1,31.51,21407.06
Hnrnpul1,48.03,29188.98
Bcl2l15,3.31,2274.59
Ttc33,9.3,29765.62
Ptpn1,11.24,36103.19
Rabepk,8.74,14871.91
Timeless,13.28,12538.78
Alg13,4.15,20734.84
Fam3a,9.37,15211.04
Kbp,12.9,17545.32
Ppcs,5.83,28098.54
Rbm27,5.85,16246.79
Surf6,11.98,41095.02
ORF19,8.23,23354.32
Rin1,35.31,43116.19
Rnaseh2c,43.84,16257.51
Tcirg1,36.68,38019.92
Znf638,8.32,12275.8
nan,96.62,19931.66
Nqo2,2.98,38290.21
Hspa2,1.53,9642.09
Tpm2,52.11,28762.94
Nme4,11.01,19069.35
Slc25a30,14.14,17361.36
D10Ertd641e,38.29,19470.9
Cd2ap,9.92,21491.41
Rbbp5,8.05,20078.37
Ankrd17,22.19,21081.91
Stam2,8.02,19940.07
Plbd2,15.23,23265.33
Cst3,341.56,42861.22
Ewsr1,100.15,47361.18
Cobra1,16.85,20860.71
Sip1,6.99,15695.01
Plod1,21.79,44686.73
Rps6kb1,11.43,10039.92
Hspa13,9.63,15837.84
Scyl2,9.49,30859.1
Nab2,20.16,30026.43
Polrmt,9.43,13462.44
Pkn2,17.99,27897.37
Ccna2,52.75,21380.96
Zc3hav1,19.07,27804.16
Kntc1,7.13,5722.14
Acy3,4.69,33206.96
Edrf1,2.73,11872.35
Cdc23,10.55,21627.01
Uprt,5.83,13579.91
Fam83h,18.37,12776.24
nan,21.36,36815.81
Med17,8.46,7263.24
Tmem160,13.78,19816.67
Trappc1,32.43,26074.46
Prkci,14.73,21176.77
Stom,8.68,29004.43
Med8,15.93,16330.35
Fhod1,11.58,19969.42
Pcbp4,36.32,25695.28
Ppp1r11,25.99,12775.09
Nfkb2,53.49,11494.89
Cdc16,29.97,23644.82
Acbd6,17.2,21266.64
Ncstn,20.95,35434.05
Gtf2a1,2.48,23616.38
Orc2l,18.13,14567.96
Nr3c1,10.45,13270.5
Smad2,11.38,14248.73
Med16,8.04,8193.66
Sin3a,13.0,18039.95
Cbwd1,6.18,46076.06
Urb1,6.12,15019.44
Chaf1a,28.16,15617.2
Twsg1,17.16,21872.12
Rabac1,36.58,34783.4
Nsun4,4.35,8869.08
Rab4b,8.78,19313.81
Ubl7,15.19,29068.19
Abhd1,18.38,19231.95
Sap30,5.78,3807.43
Dbn1,8.52,22249.42
Rad54l,7.33,5670.84
Smap1,14.82,19813.0
Stag1,10.36,10676.81
Rad51,16.92,22917.22
Dip2a,10.27,4339.16
Tusc3,24.2,11149.3
Nup214,9.54,22593.89
nan,7.44,27858.19
Fkbp5,12.89,18147.07
Abr,43.09,31734.2
0610009B22Rik,5.74,27808.17
Ebag9,10.82,15092.0
Ggps1,4.99,16844.04
Kdelc1,9.56,19157.64
Rg9mtd2,3.8,16868.97
Elp3,15.91,14546.08
nan,11.51,14052.66
Gk,3.59,13162.52
Vamp5,8.49,34826.6
Atpbd4,7.58,9257.09
Tmem126b,5.04,13826.87
Dmap1,14.25,10325.01
Dbr1,11.76,17061.92
Upf2,7.44,13311.62
Ccs,14.83,22986.02
Bat2,62.52,16253.96
Golga7,23.39,14700.25
Wasf2,17.14,33368.7
2410002F23Rik,35.91,32135.3
Lrrc57,2.7,20279.16
Pbk,8.57,18399.81
Cand2,7.63,23367.09
Dlg1,23.76,26511.86
Serbp1,69.72,9217.4
Apaf1,3.6,11146.87
Klf13,11.99,15060.53
Sntb2,5.43,22889.95
Serhl,20.94,20307.44
Ncdn,12.1,24826.99
Ddi2,15.85,22559.62
Mavs,7.89,17596.48
Sept6,6.46,32340.66
Trim16,8.2,21905.26
Pcyt1a,9.88,27900.83
Kif23,23.99,20289.18
Sfrs4,25.23,16805.68
Dapk3,27.25,22949.89
Uba5,9.5,39367.69
Dhx8,16.1,17238.85
Tom1l2,10.76,19726.73
Ttc39b,13.21,21943.68
Golim4,23.57,19593.3
Stx17,2.76,12191.84
Ampd3,12.05,36177.12
Prc1,33.21,14244.57
Adat3,5.06,6885.13
Abhd10,2.82,16087.07
Slc12a2,13.5,15031.66
Osbp,14.09,27604.76
Ypel5,2.84,13169.02
S100a13,6.35,34240.25
Pum2,25.22,17993.95
Sptlc2,15.8,23117.69
Aes,46.11,8129.54
Cttnbp2nl,7.1,1968.63
Ddx41,20.33,16365.65
Hip1r,15.94,8599.67
Yif1a,26.32,16168.66
Plcd3,8.72,20283.55
Polr3h,30.83,9617.67
Pftk1,27.1,29277.83
Stx18,10.81,16378.39
Csl,11.32,22305.22
nan,2.32,21424.22
Micall2,14.52,12250.59
Iqgap3,10.17,7769.84
Atl2,10.1,20229.92
Ubxn6,12.81,16699.81
