gene,mrna,protein
Pfdn4,11.15,580115.07
Nop58,81.99,940960.06
Bzw1,94.54,1051819.53
Ube2m,76.76,776119.26
Sae1,64.73,989357.72
Nars,71.2,1044321.77
Dnaja1,5.01,922268.96
Vat1,50.27,995023.96
Lxn,43.34,965551.84
Srprb,28.84,745864.35
Slc25a4,140.25,1208605.65
Eif3e,130.67,1065558.68
Sod2,15.21,770396.53
Eif3s5,120.6,1440369.24
Mdh1,31.97,1183711.76
Polr2e,70.05,497146.95
Canx,99.87,1239632.09
Arl8b,20.66,745563.22
Cnn2,147.89,1075320.81
Eif4e,17.44,851881.05
Sfrs6,44.84,831221.47
Dynll1,33.65,982456.24
Pdia4,53.95,983943.31
Uqcrb,74.1,807606.05
Snrpb,135.62,1069554.73
Mapre1,11.6,854536.58
Timm13,46.25,751678.71
2610029G23Rik,19.89,1028483.03
Ssbp1,8.72,556387.48
Psmd12,66.77,1068973.2
Npm3,72.72,914968.94
Pdcd5,29.58,511120.65
Atp5i,174.0,890168.46
Ube2k,16.03,875663.3
Cyc1,146.03,844686.65
Spr,37.72,859063.31
Mobkl1b,35.42,619710.96
Gmps,26.61,765064.34
Actr2,39.94,868094.03
Atxn10,75.08,986737.61
Pafah1b2,24.8,933753.91
Psme3,50.53,785098.74
Ptges,59.22,436564.2
Itpa,25.05,688604.19
Sept2,35.69,1230417.44
Hadh,27.59,948372.31
Bub3,55.68,938392.62
Psmc2,97.25,919895.2
Ahnak,63.05,580568.97
Vamp3,24.19,578143.01
Tubb6,132.07,1370371.85
Fam162a,49.67,487002.02
Snrnp70,115.83,805561.79
Pycr2,26.06,574649.07
Uchl3,38.87,717766.98
Eif3l,222.77,964493.18
Ugdh,68.19,1053286.84
U2af2,114.63,1094979.51
Rab6a,23.27,656525.0
Cdc37,68.96,874569.32
Spcs2,23.61,750303.48
Dut,20.22,813894.05
Psmc1,67.36,921646.78
Pycrl,39.75,514398.68
Csnk2a1,18.19,846353.72
Gspt1,20.09,597062.69
Bxdc2,25.42,791925.16
Rsu1,33.6,1024721.64
Mad2l1,34.29,717617.24
Vamp8,58.62,559863.21
Csnk2b,65.49,608674.75
Tceb1,23.89,639769.6
Rbbp4,36.39,700005.12
Tkt,17.2,740397.05
Pdlim1,65.15,1046752.35
Rps21,579.26,1091191.67
Psmd6,41.59,906917.54
G3bp2,42.97,612521.91
Kars,73.14,711916.61
Txnl1,20.54,751365.46
AI314976,7.27,740769.4
Psmd3,124.63,826919.99
Eif3d,225.92,766193.65
Tmed10,10.74,856859.23
Acat1,12.43,798950.28
Acot9,46.78,755180.28
Snx12,14.18,736451.35
Mbnl1,29.1,400236.71
Sars,116.53,848861.47
Etfa,15.85,973524.7
Ahsa1,101.83,1015147.99
Vcl,63.74,825457.58
Alad,34.92,775413.31
Flnb,80.2,768468.07
Tbca,76.3,646728.43
Eif4g1,152.93,613512.81
Skp1,55.74,918066.77
Aco2,69.99,806312.42
Cuta,31.5,272633.88
Mat2a,80.06,786968.82
Ebna1bp2,22.27,507676.68
Rbmxrt,30.58,726118.59
2700060E02Rik,15.08,709062.92
Ppp2ca,92.04,1048594.68
Rpl7l1,39.7,409202.69
Ganab,69.38,863264.28
Eif3k,131.82,827794.61
Calu,161.71,940011.44
Galk1,52.06,697479.66
Prkcsh,74.2,543495.47
Sbds,22.12,406204.33
Hdgf,123.97,916169.29
Rpn2,93.01,924200.87
Cox4i1,196.87,945088.55
Dci,19.33,533718.98
Tmpo,29.34,606862.23
Lasp1,43.52,620328.33
Iqgap1,69.32,823142.94
Psmc3,87.82,888666.34
Akr1b8,46.31,750912.22
Ndufa13,25.53,455842.44
Lmnb1,24.09,569914.43
Mtch2,18.95,805159.92
Coro1c,63.14,731558.69
Hyou1,56.17,649894.39
Nip7,16.16,633907.99
nan,24.89,635398.17
Nhp2,84.75,758766.17
Pcnp,16.59,305698.95
Zyx,260.85,508957.21
Ssr1,19.86,894928.19
Prkar2b,48.09,871250.59
Cops6,84.25,732651.08
Actr1a,39.73,786494.05
Atp5f1,64.85,640198.39
Cyb5b,27.55,851195.7
Dars,20.49,622222.19
Timm50,50.83,713851.6
Tra2b,36.15,803163.37
Yars,31.54,542291.55
Nans,40.09,676047.43
Snd1,79.21,872156.51
Fth1,2254.97,463816.79
Tfrc,46.86,709126.56
Sept11,52.18,692282.42
Pin1,12.79,625345.52
Dcakd,40.25,564938.35
Uqcrfs1,41.49,401746.88
Apex1,44.39,754706.4
Gsta4,27.48,564374.03
Gar1,46.53,507519.24
Fen1,37.46,597608.42
Rtn4,44.22,677142.39
Acadl,21.83,551045.63
Fkbp2,27.86,577171.79
Tomm22,87.31,664627.66
Pitpna,39.61,595835.54
Ndufs5,47.7,255722.44
Tomm40,55.81,578608.61
Tmed5,14.75,488107.72
Impa1,14.24,495810.39
Mcm6,66.0,685310.43
Arcn1,42.83,512315.14
Vdac3,68.04,769744.47
Mesdc2,18.19,580260.09
Banf1,139.66,684091.43
Nes,53.26,469826.44
Por,54.86,626571.13
Chmp2a,64.3,313444.68
Ifrg15,17.42,369265.14
Psmd2,159.11,680773.54
Dpysl2,4.12,736214.42
Dctn3,28.05,325435.81
Mcm7,75.46,745147.75
nan,59.32,555753.85
Rad23b,56.46,649643.64
0610038D11Rik,37.99,465639.51
Psmd8,50.36,599122.27
D10Wsu52e,76.86,627875.32
Iars,50.68,571971.46
Eif3g,85.6,600524.91
Snrpb2,28.99,403520.02
Cox6c,210.54,621667.84
Rab18,16.89,474693.52
Ralb,18.01,444363.27
Prkaca,24.13,623190.42
Arglu1,35.77,269558.49
Rcl,24.28,458486.78
Cryab,92.85,577067.08
Eif2b1,24.56,373337.22
Gsdmdc1,106.95,701006.91
Cops4,35.08,585588.79
Mcm3,67.07,667621.65
Cfl2,17.97,581450.47
Aifm1,31.03,549164.05
Slc25a24,37.51,921794.04
Abce1,52.14,529165.55
Rcc2,81.41,485175.22
Commd2,153.02,431431.26
Txndc5,70.24,790404.55
Sh3bgrl,25.67,648700.33
Plekhf1,8.5,440295.5
Gng12,36.52,658581.1
Grb2,32.4,467140.84
Ehd2,48.91,911590.54
Pgam5,27.26,253050.52
Sri,17.72,416374.26
Rhog,33.97,436816.56
Idh3g,50.99,449440.82
Eif3b,145.44,721123.69
Mmgt1,11.84,348569.61
Sh3glb1,26.65,552156.42
Pdcd6,42.7,587172.43
Pgls,19.51,580660.81
Tmpo,33.4,553007.85
Tmem33,10.94,580495.49
Snrnp40,30.53,507423.96
Csde1,66.24,428091.75
Nsfl1c,52.93,553494.31
Anxa6,28.39,722921.7
Psmd5,30.44,635704.93
Glo1,21.81,581557.24
Uqcrq,167.99,642592.72
Vapb,8.35,363030.97
Pdxk,11.63,446205.5
Supt4h1,71.97,276629.42
Idh3b,50.36,413930.15
Ndufa8,62.0,393887.31
Map2k2,34.53,327073.31
Rbm39,49.96,555159.24
Pdcd6ip,31.73,622297.55
Hdac1,10.8,459022.89
Got1,16.43,508935.42
Pabpc4,49.03,444829.31
Cnn3,76.55,712315.65
Glud1,26.18,486988.35
Puf60,132.38,524433.85
Mapksp1,14.04,341826.38
Sgpl1,49.77,378664.89
Cisd2,11.92,326496.8
Rab21,21.22,380400.93
Csnk2a2,10.65,410023.09
Nutf2,2.45,399948.84
Farsa,35.77,557267.67
Arpc5,57.78,563450.73
Oxct1,36.63,650466.62
Etf1,41.65,599064.76
Cox5a,96.75,386574.28
Slc25a11,36.12,565237.33
Fam49b,18.4,549110.44
Khsrp,35.6,483455.53
Psmg4,31.74,275500.75
Cnpy2,34.3,489784.72
Hspa4,46.11,704633.72
Rab1b,65.13,595427.42
Ubl4a,37.01,268350.88
Mki67ip,31.0,410627.88
Dhx15,62.75,602135.3
Pafah1b3,30.42,405881.82
Hmox1,24.43,393337.22
Mcm2,78.23,552318.55
Ak1,34.64,571330.82
Arl1,56.41,511497.71
Ptgs1,177.69,755271.66
Tsta3,56.18,565950.89
Mtpn,45.24,441425.75
Mcm4,62.1,564101.71
Psmg3,13.6,321908.44
Bzw2,63.55,539078.9
Rras2,23.31,345530.86
Ddx6,23.88,497118.44
Narg1,26.0,416767.17
Lsm4,44.61,343170.22
Hars,50.46,507961.01
Mthfd1,34.97,548842.83
Ftl1,866.36,372255.56
Txndc17,25.16,464706.16
Gstt3,20.87,488401.97
Akr1c13,22.97,497472.86
Cdk4,178.55,298984.47
Drg1,39.52,544662.58
Hmga1,277.76,214873.39
Myo1c,80.55,544445.58
Dnaja2,40.65,508518.83
Cops2,30.84,510501.64
Ddx18,71.46,395266.01
Dlst,51.37,471438.72
Map1lc3b,17.14,244430.58
Igf2bp3,13.65,503544.51
Bri3bp,8.21,321422.06
Ccdc58,9.8,319524.04
Cox5b,85.79,295842.0
Arf5,58.24,471973.98
Dad1,67.03,533533.32
Csda,131.92,304630.49
Txndc12,18.93,358703.25
Ndufa6,68.36,270942.04
Flnc,50.05,443168.91
